ds,y
10/1/2016 0:00,273905.66
10/2/2016 0:00,10382.68
10/3/2016 0:00,30581.02
10/4/2016 0:00,188091.5
10/5/2016 0:00,211519.74
10/6/2016 0:00,130851.6
10/7/2016 0:00,222393.53
10/8/2016 0:00,255558.07
10/9/2016 0:00,13113.42
10/11/2016 0:00,243284.04
10/12/2016 0:00,100792.02
10/13/2016 0:00,109174.86
10/14/2016 0:00,95905.6
10/15/2016 0:00,252980.1
10/16/2016 0:00,15056.1
10/17/2016 0:00,5058.87
10/18/2016 0:00,215680.73
10/19/2016 0:00,217669.41
10/20/2016 0:00,128702.55
10/21/2016 0:00,232186.54
10/22/2016 0:00,307119.39
10/23/2016 0:00,10891.6
10/24/2016 0:00,19441.94
10/25/2016 0:00,231505.07
10/26/2016 0:00,243713.35
10/27/2016 0:00,214208.14
10/28/2016 0:00,182244.19
10/29/2016 0:00,277141.28
10/30/2016 0:00,15769.03
10/31/2016 0:00,25086.21
11/1/2016 0:00,252066.75
11/2/2016 0:00,228326.58
11/3/2016 0:00,188809.34
11/4/2016 0:00,185748.43
11/5/2016 0:00,286508.53
11/6/2016 0:00,14267.54
11/7/2016 0:00,20843.34
11/8/2016 0:00,215232.92
11/9/2016 0:00,205379.63
11/10/2016 0:00,214497.43
11/11/2016 0:00,17311.48
11/12/2016 0:00,293454
11/13/2016 0:00,16572.08
11/14/2016 0:00,12394.33
11/15/2016 0:00,229223.98
11/16/2016 0:00,170558.23
11/17/2016 0:00,130229.52
11/18/2016 0:00,212765.74
11/19/2016 0:00,321987.62
11/20/2016 0:00,5496.8
11/21/2016 0:00,20339.28
11/22/2016 0:00,255687.84
11/23/2016 0:00,245643.47
11/24/2016 0:00,168223.35
11/25/2016 0:00,239376.81
11/26/2016 0:00,316311.6
11/27/2016 0:00,10790.35
11/28/2016 0:00,14615.36
11/29/2016 0:00,293212.96
11/30/2016 0:00,304113.2
12/1/2016 0:00,314460.37
12/2/2016 0:00,273761.47
12/3/2016 0:00,339102.5
12/4/2016 0:00,106230.85
12/5/2016 0:00,19713.49
12/6/2016 0:00,292898.07
12/7/2016 0:00,200936.78
12/8/2016 0:00,146947.71
12/9/2016 0:00,289891.39
12/10/2016 0:00,358646.86
12/11/2016 0:00,95324.56
12/12/2016 0:00,19741.98
12/13/2016 0:00,308296.35
12/14/2016 0:00,223904.24
12/15/2016 0:00,169498.52
12/16/2016 0:00,279098.68
12/17/2016 0:00,274710.38
12/18/2016 0:00,73211.68
12/19/2016 0:00,9400.26
12/20/2016 0:00,283986.19
12/21/2016 0:00,306417.4
12/22/2016 0:00,255501.13
12/23/2016 0:00,285886.17
12/24/2016 0:00,212072.11
12/26/2016 0:00,17858.73
12/27/2016 0:00,278264.93
12/28/2016 0:00,181804.57
12/29/2016 0:00,130704.47
12/30/2016 0:00,227417.3
12/31/2016 0:00,197460.01
1/2/2017 0:00,21838.36
1/3/2017 0:00,214235.74
1/4/2017 0:00,192907.86
1/5/2017 0:00,159140.12
1/6/2017 0:00,254364.72
1/7/2017 0:00,285020.15
1/8/2017 0:00,7752.64
1/9/2017 0:00,12221.4
1/10/2017 0:00,236263.52
1/11/2017 0:00,230169.1
1/12/2017 0:00,114063.76
1/13/2017 0:00,229693.84
1/14/2017 0:00,302931.88
1/15/2017 0:00,109415.07
1/16/2017 0:00,15699.51
